canton,commune,prefecture,region,population,FRI,classe_fri,rwi_min,urban_ratio,infrastructure_documentee,WUI,priorite
Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Maritime,358223.442808,0.4930971372315273,Tres eleve,0.903,0.8906254469116601,True,0.5915571962328392,Critique
Légbassito,Agoè-Nyivé 2,Agoè-Nyivé,Maritime,154480.559802,0.34328626002598667,Eleve,0.133,0.6756613442865086,True,0.40183312537671073,Critique
Vakpossito,Agoè-Nyivé 3,Agoè-Nyivé,Maritime,63267.95692700001,0.24856343264341363,Moyen,1.079,0.9999999999999999,True,0.20359908432641527,Surveillance
Togblekope,Agoè-Nyivé 4,Agoè-Nyivé,Maritime,179199.320921,0.41444260352557744,Eleve,-0.089,0.5239749455515291,True,0.47791249801612135,Critique
Zanguera,Agoè-Nyivé 5,Agoè-Nyivé,Maritime,218933.127634,0.3074591464425915,Eleve,0.636,0.7079749559564665,False,0.49644729698274337,Critique
Adétikopé,Agoè-Nyivé 6,Agoè-Nyivé,Maritime,52840.089426,0.22269216254564025,Moyen,-0.302,0.2505754300168768,True,0.2858789095564082,Surveillance
Kévé,Avé 1,Avé,Maritime,11043.089868000001,0.21196638258530542,Moyen,-0.869,0.015674724130468318,False,0.38903471105210774,Critique
Assahoun,Avé 1,Avé,Maritime,9604.491806,0.1496374561497827,Faible,-0.874,0.047627816240090666,False,0.35402652276703195,Elevee
Tovégan,Avé 1,Avé,Maritime,10887.803902000001,0.07841933775491648,Tres faible,-0.786,0.0,False,0.30928688143116356,Moyenne
Ando,Avé 1,Avé,Maritime,9495.744831,0.07114157959649467,Tres faible,-0.948,0.0,False,0.3164720981155808,Moyenne
Zolo,Avé 1,Avé,Maritime,5851.743352,0.06601605109244098,Tres faible,-0.755,0.0,False,0.2960179029056018,Surveillance
Noépé,Avé 2,Avé,Maritime,10367.572826000001,0.0674225542291998,Tres faible,-0.218,0.0,False,0.2596486918601718,Surveillance
Aképé,Avé 2,Avé,Maritime,17313.858359,0.11179572053331653,Faible,-0.517,0.015655949331953013,False,0.31239683750292346,Moyenne
Badja,Avé 2,Avé,Maritime,10048.043772,0.08493125608323682,Tres faible,-0.728,0.0,False,0.30776842436699137,Moyenne
Kpétsou,Bas-Mono 1,Bas-Mono,Maritime,13667.775344000001,0.08726239604091546,Tres faible,-0.548,0.0,True,0.19831459973929472,Surveillance
Afagnan-Gbléta,Bas-Mono 1,Bas-Mono,Maritime,31249.042978,0.12358494460010137,Faible,-0.484,0.0179105641381166,False,0.32771496902072816,Elevee
Afagnangan,Bas-Mono 1,Bas-Mono,Maritime,17676.188806000002,0.2814943944922352,Moyen,-0.696,0.08089813641213767,True,0.31945675729179956,Moyenne
Attitogon,Bas-Mono 2,Bas-Mono,Maritime,28876.104163000004,0.0812563022560387,Tres faible,-0.501,0.0,False,0.30383699224591826,Moyenne
Hompou,Bas-Mono 2,Bas-Mono,Maritime,7918.705695000001,0.06780014129014465,Tres faible,-0.456,0.0,False,0.2759525291490569,Surveillance
Agome-Glozou,Bas-Mono 2,Bas-Mono,Maritime,11154.366591,0.09777326439782358,Tres faible,-0.15,0.0,True,0.17178197027395653,Surveillance
Agbétiko,Bas-Mono 2,Bas-Mono,Maritime,3153.961779,0.06248303635062528,Tres faible,-0.688,0.0,False,0.2867870535234308,Surveillance
Bè-Est,Golfe 1,Golfe,Maritime,294407.968876,0.6450010496350246,Tres eleve,-0.202,0.5971096252854601,False,0.8069456716341237,Critique
Bè-Centre,Golfe 2,Golfe,Maritime,120144.196629,0.3007857132445131,Eleve,1.138,0.9538603648428359,False,0.37412676797228284,Elevee
Bè-Ouest,Golfe 3,Golfe,Maritime,129338.199144,0.4931244100886525,Tres eleve,0.924,0.8476258263362735,False,0.5034720835607824,Critique
Amoutivé,Golfe 4,Golfe,Maritime,112333.122491,0.21474069954852434,Moyen,1.338,0.9753889102240603,False,0.3053234644218372,Moyenne
Aflao-Gakli,Golfe 5,Golfe,Maritime,195975.557062,0.3558615399746841,Eleve,1.141,1.0000000000000007,False,0.46592316711448134,Critique
Baguida,Golfe 6,Golfe,Maritime,226051.461143,0.6338997276903717,Tres eleve,-0.253,0.7159778324969006,False,0.7490290665794522,Critique
Aflao-Sagbado,Golfe 7,Golfe,Maritime,429551.976791,0.5363070271574523,Tres eleve,-0.155,0.8943122265236523,True,0.7538243602446244,Critique
Aného,Lacs 1,Lacs,Maritime,8319.615616000001,0.11174799324551958,Faible,0.147,0.0,False,0.25456670784213875,Surveillance
Glidji,Lacs 1,Lacs,Maritime,21192.19384,0.08928454099326892,Tres faible,-0.21,0.0,False,0.2798621830566922,Surveillance
Canton D’Aneho,Lacs 1,Lacs,Maritime,7370.631735,0.05736777405111123,Tres faible,1.253,0.0,False,0.13986641214144743,Surveillance
