Dataset,Variable,Type,% manquant,Valeurs distinctes,Description
fri_cantons,region_id,str,0.0,5,
fri_cantons,region_nom,str,0.0,5,Nom de la region administrative
fri_cantons,prefecture,str,0.0,39,Code de la prefecture
fri_cantons,prefectu_1,str,0.0,39,Nom de la prefecture
fri_cantons,commune_id,str,0.0,117,
fri_cantons,commune_no,str,0.0,116,Nom de la commune
fri_cantons,canton_id,str,0.0,388,
fri_cantons,canton_nom,str,0.0,387,Nom du canton
fri_cantons,canton_n_1,str,0.0,387,
fri_cantons,grand_lome,int64,0.0,2,Indicateur d'appartenance au Grand Lome
fri_cantons,Duplicata,float64,0.0,20,
fri_cantons,canton_index,int64,0.0,388,
fri_cantons,max_fsi,float64,0.0,280,"Indice de susceptibilite aux inondations (FSI), valeur maximale observee dans le canton"
fri_cantons,total_pop,float64,0.0,387,Population totale estimee du canton (source raster demographique)
fri_cantons,min_rwi,float64,0.0,306,Relative Wealth Index minimal du canton (proxy de vulnerabilite economique ; plus bas = plus pauvre)
fri_cantons,urban_ratio,float64,0.0,51,Part de la surface / des batiments du canton en zone urbaine
fri_cantons,building_count,float64,0.0,79,Nombre de batiments detectes dans le canton
fri_cantons,min_dist_basin,float64,0.0,192,Distance minimale a un bassin hydrographique (proxy d'exposition hydrologique)
fri_cantons,max_crop_prob,float64,0.0,388,Probabilite maximale de presence de cultures (occupation du sol)
fri_cantons,norm_fsi,float64,0.0,280,FSI normalise entre 0 et 1
fri_cantons,norm_pop,float64,0.0,387,Population normalisee entre 0 et 1
fri_cantons,norm_rwi,float64,0.0,306,RWI normalise entre 0 et 1
fri_cantons,norm_urban,float64,0.0,51,Ratio urbain normalise
fri_cantons,norm_build,float64,0.0,79,Nombre de batiments normalise
fri_cantons,norm_dist_basin,float64,0.0,192,Distance au bassin normalisee
fri_cantons,norm_crop,float64,0.0,388,Probabilite de cultures normalisee
fri_cantons,FRI,float64,0.0,388,Flood Risk Index -- indice agrege de risque d'inondation du canton (0-1)
coso_subprojects,id,int32,0.0,218,
coso_subprojects,number,int32,0.0,218,
coso_subprojects,joint_subproject_number,int32,0.0,212,
coso_subprojects,title,str,0.0,133,Intitule du sous-projet
coso_subprojects,type,str,0.0,6,Type d'ouvrage finance
coso_subprojects,subproject_type_designation,str,0.0,2,
coso_subprojects,sector,str,0.0,1,Secteur d'intervention (Eau-Hydraulique)
coso_subprojects,works_type,str,2.3,3,Nature des travaux (construction / rehabilitation)
coso_subprojects,component,str,0.0,3,
coso_subprojects,projects,str,0.0,2,
coso_subprojects,financiers,str,0.0,1,
coso_subprojects,status,str,0.0,6,Etape administrative d'avancement du sous-projet
coso_subprojects,current_status_of_the_site,str,0.0,4,
coso_subprojects,progress_percent,float64,12.8,4,Pourcentage d'avancement physique
coso_subprojects,progress_value,float64,0.0,4,
coso_subprojects,estimated_cost,float64,1.8,12,Cout estime du sous-projet (FCFA)
coso_subprojects,contract_amount_work_companies,float64,1.4,169,
coso_subprojects,total_contract_amount_paid,float64,1.4,172,
coso_subprojects,amount_of_the_care_and_maintenance_fund_expected,float64,85.3,2,
coso_subprojects,care_and_maintenance_amount_on_village_account,float64,34.4,72,
coso_subprojects,date_signature_contract_work_companies,datetime64[ms],5.0,98,
coso_subprojects,date_signature_contract_efme,datetime64[ms],92.7,11,
coso_subprojects,contract_companies_amount_for_efme,float64,90.4,18,
coso_subprojects,date_signature_contract_controllers_in_SES,datetime64[ms],89.0,11,
coso_subprojects,date_of_signature_of_contract_for_construction_supervisors,datetime64[ms],90.8,12,
coso_subprojects,approval_date_cora,datetime64[ms],26.6,11,
coso_subprojects,launch_date,datetime64[ms],3.2,118,Date de lancement des travaux
coso_subprojects,expected_duration,float64,0.0,7,
coso_subprojects,expected_end_date,datetime64[ms],5.0,118,
coso_subprojects,work_completion_date,datetime64[ms],0.0,127,Date d'achevement des travaux
