title,type,status,progress_percent,population,region,prefecture,commune,canton,launch_date,work_completion_date,latitude,longitude,source
Construction d'un centre communautaire à Alégba  + forage photovoltaïque à ALEGBA,Forage Photovoltaïque (Centre communautaire),Remise de l'ouvrage à la communauté 100.0%,100.0,795.0,Centrale,Tchamba,Tchamba 3,Balanka,2024-01-04,2024-02-23,8.824055,1.606965,COSO
Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,447.0,Centrale,Tchamba,Tchamba 2,Koussountou,2023-08-06,2023-12-31,8.888017,1.577222,COSO
Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception provisoire 100.0%,100.0,400.0,Centrale,Tchamba,Tchamba 1,Tchamba,2023-08-06,2024-06-01,8.918368,1.614907,COSO
"Construction d'un bâtiment scolaire de 4 classes, bureau, magasin + forage au CEG Agbansikiti + équipements",Forages photovoltaïques dans les établissements scolaires,Remise de l'ouvrage à la communauté 100.0%,100.0,1300.0,Centrale,Tchamba,Tchamba 3,Kaboli,2023-08-06,2023-12-31,8.691495,1.619747,COSO
Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception technique 100.0%,100.0,1394.0,Centrale,Tchamba,Tchamba 3,Kaboli,2023-08-05,2023-12-01,8.694493,1.563569,COSO
"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage à l'EPP Boléa + équipements",Forages photovoltaïques dans les établissements scolaires,Réception définitive 100.0%,100.0,2500.0,Centrale,Tchamba,Tchamba 3,Kaboli,2023-08-06,2024-06-01,8.528625,1.612648,COSO
"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Dogodè + équipements ",Forages photovoltaïques dans les établissements scolaires,Remise de l'ouvrage à la communauté 100.0%,100.0,752.0,Centrale,Tchamba,Tchamba 3,Kaboli,2024-01-04,2024-02-23,8.786747,1.630917,COSO
Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Réception technique 100.0%,100.0,1394.0,Centrale,Tchamba,Tchamba 3,Kaboli,2023-08-06,2024-08-18,8.673588,1.604208,COSO
Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Remise de l'ouvrage à la communauté 100.0%,100.0,600.0,Centrale,Tchamba,Tchamba 3,Kaboli,2023-08-05,2024-02-23,8.594615,1.616948,COSO
Construction d'un centre communautaire + forage photovoltaïque,Forage Photovoltaïque (Centre communautaire),Remise de l'ouvrage à la communauté 100.0%,100.0,841.0,Centrale,Tchamba,Tchamba 3,Kaboli,2023-08-06,2023-12-31,8.764615,1.617617,COSO
Construction d’un bâtiment scolaire de 4 classes +bureau – magasin +forage +mobilier+ 2 blocs latrines au CEG,Forages photovoltaïques dans les établissements scolaires,Remise de l'ouvrage à la communauté 100.0%,100.0,5545.0,Kara,Binah,Binah 1,Pagouda,2023-08-04,2023-12-31,9.799855,1.298193,COSO
Construction d’un centre communautaire+ forage+équipement+2 chambres à KAGNISSI,Forage Photovoltaïque (Centre communautaire),Remise de l'ouvrage à la communauté 100.0%,100.0,4000.0,Kara,Binah,Binah 1,Pagouda,2024-02-22,2024-04-25,9.7638567,1.3124717,COSO
Construction d’un bâtiment scolaire de 3 classes+bureau-magasin+forage+2 blocs latrines+ mobilier à l’EPP,Forages photovoltaïques dans les établissements scolaires,Remise de l'ouvrage à la communauté 100.0%,100.0,1984.0,Kara,Binah,Binah 1,Pagouda,2023-07-19,2023-12-31,9.73982,1.3079933,COSO
Construction d’un bâtiment scolaire de 2 classes (au JEP) +bureau-magasin+forage+2 blocs latrines+ mobilier,Forages photovoltaïques dans les établissements scolaires,Remise de l'ouvrage à la communauté 100.0%,100.0,1011.0,Kara,Binah,Binah 1,Pagouda,2023-07-19,2023-11-03,9.75361,1.331408,COSO
Construction d’un bâtiment scolaire de 2 classes (au JEP) +bureau-magasin+forage+2 blocs latrines +mobilier,Forages photovoltaïques dans les établissements scolaires,Remise de l'ouvrage à la communauté 100.0%,100.0,590.0,Kara,Binah,Binah 1,Pagouda,2023-08-03,2023-12-31,9.7106983,1.3185617,COSO
Construction d’un bâtiment scolaire de 4 classes +bureau – magasin +forage +mobilier+ 1 bloc administratif au CEG,Forages photovoltaïques dans les établissements scolaires,Remise de l'ouvrage à la communauté 100.0%,100.0,1845.0,Kara,Binah,Binah 1,Pagouda,2023-12-23,2024-03-15,9.744758,1.320824,COSO
