Canton,Commune,Prefecture,Region,Population,FRI,RWI min,Infra. documentee,WUI,Priorite
Bè-Est,Golfe 1,Golfe,Maritime,294407.968876,0.645,-0.2,False,0.807,Critique
Aflao-Sagbado,Golfe 7,Golfe,Maritime,429551.976791,0.536,-0.2,True,0.754,Critique
Baguida,Golfe 6,Golfe,Maritime,226051.461143,0.634,-0.3,False,0.749,Critique
Dapaong,Tône 1,Tône,Savanes,154758.807448,0.389,-0.8,False,0.6,Critique
Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Maritime,358223.442808,0.493,0.9,True,0.592,Critique
Kara,Kozah 1,Kozah,Kara,94804.8615,0.441,-0.6,False,0.562,Critique
Sokodè (Komah),Tchaoudjo 1,Tchaoudjo,Centrale,85029.152294,0.376,-0.8,False,0.534,Critique
Bè-Ouest,Golfe 3,Golfe,Maritime,129338.199144,0.493,0.9,False,0.503,Critique
Zanguera,Agoè-Nyivé 5,Agoè-Nyivé,Maritime,218933.127634,0.307,0.6,False,0.496,Critique
Anié,Anié 1,Anié,Plateaux,95578.611722,0.282,-0.8,False,0.492,Critique
Tsévié,Zio 1,Zio,Maritime,37729.040916,0.387,-0.5,False,0.479,Critique
Togblekope,Agoè-Nyivé 4,Agoè-Nyivé,Maritime,179199.320921,0.414,-0.1,True,0.478,Critique
Aflao-Gakli,Golfe 5,Golfe,Maritime,195975.557062,0.356,1.1,False,0.466,Critique
Agbodrafo,Lacs 3,Lacs,Maritime,89404.008475,0.492,-0.3,True,0.464,Critique
Notsé,Haho 1,Haho,Plateaux,73732.515104,0.233,-0.9,False,0.454,Critique
Bassar,Bassar 1,Bassar,Kara,45754.087907,0.287,-0.8,False,0.454,Critique
Agome-Kpalime,Kloto 1,Kloto,Plateaux,91933.23852,0.409,0.6,False,0.452,Critique
Djama,Ogou 1,Ogou,Plateaux,26605.779159,0.261,-0.9,False,0.429,Critique
Abobo,Zio 1,Zio,Maritime,32764.208586,0.264,-0.7,False,0.423,Critique
Larini,Tchamba 1,Tchamba,Centrale,19577.93677,0.242,-1.0,False,0.423,Critique
